Category,Sub Category,Number,TONE Name,MSB,LSB,PC
CONCERT ACOUSTIC PIANO,CONCERT PIANO,S01,Stage Grand,84,16,1
,,S02,Deep Concert,84,16,2
,,S03,Eastcoast Studio,84,16,3
,,S04,Contemp Concerto,84,16,4
,,S05,Symphony Hall,84,16,5
,,S06,Bold Beauty,84,16,6
,,S07,Aco Grand1,84,16,7
,,S08,Aco Grand2,84,16,8
,,S09,Aco Grand3,84,16,9
,,S10,Aco Grand4,84,16,10
,,S11,Aco Grand 5,84,16,11
,,S12,Aco Grand 6,84,16,12
,,S13,Aco Grand 7,84,16,13
,,S14,Aco Grand 8,84,16,14
,,S15,Aco Grand 9,84,16,15
,,S16,Aco Grand 10,84,16,16
,,S17,at Stage,84,16,17
,,SA01,German Concert,84,17,1
,,SA02,Bold Grand,84,17,2
,,SA03,Calm Focus,84,17,3
,,SA04,Open Warm,84,17,4
,,SA05,Open Warm 2,84,17,5
,,SA06,Studio Pop,84,17,6
,,SA07,Studio Rock,84,17,7
,,SA08,Ballad Warm,84,17,8
,,SA09,Bright & Clear,84,17,9
,,SA10,Feelin' Hopping,84,17,10
,,SA11,Short Stick,84,17,11
,,SA12,Quiet Phrase,84,17,12
,,SA13,Bright Baby,84,17,13
,,SA14,Deep Open,84,17,14
,,SA15,Presence,84,17,15
,,SA16,Water Piano,84,17,16
,,SA17,Low Lifted Cncrt,84,17,17
,,SB01,Recital Upright,84,18,1
,,SB02,Pop Studio Pno,84,18,2
,,SB03,Gentle Dream,84,18,3
,,SB04,Parlor Upright,84,18,4
,,SB05,Reso-swell Uprt,84,18,5
,,SB06,Open-Reso,84,18,6
,,SB07,Rock Upright,84,18,7
,,SB08,Reverie Piano,84,18,8
,,SB09,Etude Dreamer,84,18,9
,,SB10,Bright Sky Piano,84,18,10
,,SB11,Open Aire,84,18,11
,,SB12,Faraway Harmony,84,18,12
,,SB13,Parlor Pound,84,18,13
,,SB14,Resonant Closet,84,18,14
,,0001,Concert Grand,84,0,1
,,0002,Bright Concert,84,0,2
,,0003,Mellow Concert,84,0,3
,,0004,Rock Concert Grd,84,0,4
,,0005,Comp ConcertGrd,84,0,5
,,0006,Concert Grd Mono,84,0,6
,,0007,NX Concert Grand,84,0,7
,,0008,Bright NX Concrt,84,0,8
,,0009,Mellow NX Concrt,84,0,9
,,0010,Rock NX Concert,84,0,10
,,0011,Comp NX Concert,84,0,11
,,0012,NX Concert Mono,84,0,12
,,0013,Brilliant Grand,84,0,13
,,0014,Hard Brill Grand,84,0,14
,,0015,Soft Brill Grand,84,0,15
,,0016,Rock Brill Grand,84,0,16
,,0017,Comp Brill Grand,84,0,17
,,0018,Brill Grand Mono,84,0,18
,,0019,St.Piano 1,84,0,19
,,0020,St.Piano 2,84,0,20
,,0021,St.Piano 3,84,0,21
,,0022,St.Piano 4,84,0,22
,,0023,St.Piano 5,84,0,23
,,0024,Piano 1,84,0,24
,,0025,Piano 1 w,84,0,25
