Category,Sub Category,Number,TONE Name,MSB,LSB,PC
CONCERT,CONCERT PIANO,S01,Stage Grand,84,16,1
,,S02,Deep Concert,84,16,2
,,S03,Eastcoast Studio,84,16,3
STUDIO,STUDIO PIANO,0028,Upright Piano,84,0,28
,,0029,Bright Upright,84,0,29
,,0030,Mellow Upright,84,0,30
,HONKY-TONK,0042,Honky-tonk Pno 1,84,0,42
,,0043,Honky-tonk Pno 2,84,0,43
,,0044,Honky-tonk Pno 3,84,0,44
,SA PIANO,0049,SA Piano,84,0,49
,,0050,Modulated SA Pno,84,0,50
,,0051,Bright SA Piano,84,0,51
,SYNTH PIANO,0055,JD Piano,84,0,55
,,0056,Bright JD Piano,84,0,56
,,0057,Rock JD Piano,84,0,57
